2015/09/20,   77,  100,   50
2015/09/21,   87,  110,   70
2015/09/22,   51,   90,   30
2015/09/23,   71,  100,   40
2015/09/24,   94,  140,   70
2015/09/25,   55,   70,   40
2015/09/26,   40,   70,   10
2015/09/27,   50,   70,   30
2015/09/28,   55,   70,   40
2015/09/29,   73,  110,   50
2015/09/30,   75,  110,   50
2015/10/01,   68,  100,   40
2015/10/02,   58,   80,   40
2015/10/03,   40,   70,   10
2015/10/04,   43,   60,   30
2015/10/05,   37,   60,   20
2015/10/06,   43,   60,   30
2015/10/07,   71,   90,   40
2015/10/08,   50,   80,   20
2015/10/09,   36,   60,   10
2015/10/10,   70,   90,   50
2015/10/11,   86,  100,   70
2015/10/12,   60,   80,   40
2015/10/13,   75,  120,   40
2015/10/14,   66,  110,   40
2015/10/15,   51,   70,   10
2015/10/16,   52,   80,   20
2015/10/17,   33,   50,   10
2015/10/18,   37,   60,   10
2015/10/19,   36,   50,   20
2015/10/20,   42,   70,   10
2015/10/21,   96,  130,   30
2015/10/22,   82,  110,   50
2015/10/23,   55,   80,   40
2015/10/24,   64,   80,   40
2015/10/25,   41,   80,   10
2015/10/26,   44,   60,   30
2015/10/27,   44,   60,   30
2015/10/28,   43,   60,   30
2015/10/29,   49,   80,   40
2015/10/30,   45,   60,   30
2015/10/31,   38,   50,   20
2015/11/01,   29,   50,   10
2015/11/02,   37,   50,   20
2015/11/03,   38,   60,   30
2015/11/04,   59,   90,   40
2015/11/05,   63,   90,   50
2015/11/06,  101,  130,   70
2015/11/07,  109,  150,   60
2015/11/08,   71,  130,   10
2015/11/09,  137,  170,   60
2015/11/10,  134,  150,  120
2015/11/11,  116,  130,   90
2015/11/12,   78,  120,   50
2015/11/13,  155,  180,  110
2015/11/14,  146,  180,   90
2015/11/15,  154,  180,  110
2015/11/16,  129,  160,   70
2015/11/17,  118,  220,   30
2015/11/18,  171,  220,  120
2015/11/19,  150,  190,  110
2015/11/20,  128,  150,  110
2015/11/21,  103,  150,   40
2015/11/22,   80,  110,   40
2015/11/23,   77,  140,   20
2015/11/24,  130,  170,   80
2015/11/25,   98,  110,   90
2015/11/26,   45,   90,   10
2015/11/27,  102,  130,   70
2015/11/28,  148,  200,  120
2015/11/29,  163,  190,  140
2015/11/30,  140,  190,   60
2015/12/01,   82,  120,   40
2015/12/02,  117,  130,   90
2015/12/03,  100,  130,   80
2015/12/04,  133,  170,  110
2015/12/05,  175,  200,  160
2015/12/06,  147,  180,   70
2015/12/07,   63,   80,   40
2015/12/08,   90,  120,   70
2015/12/09,  106,  140,   80
2015/12/10,  143,  160,  120
2015/12/11,  127,  150,  100
2015/12/12,  122,  200,   60
2015/12/13,   46,  140,   10
2015/12/14,   45,   80,   30
2015/12/15,   36,   60,   20
2015/12/16,   83,  110,   50
2015/12/17,  100,  110,   90
2015/12/18,   90,  100,   80
2015/12/19,   92,  100,   80
2015/12/20,  101,  130,   90
2015/12/21,  143,  200,   70
2015/12/22,  146,  170,   80
2015/12/23,  116,  180,   70
2015/12/24,  115,  170,   60
2015/12/25,  107,  160,   60
2015/12/26,  152,  170,  130
2015/12/27,  123,  160,   80
2015/12/28,   56,   80,   30
2015/12/29,   60,   70,   50
2015/12/30,   84,  100,   60
2015/12/31,  111,  170,   60
00000000,  000,  000,   00
2015/01/01,   57,   90,   30
2015/01/02,   55,  100,   30
2015/01/03,   36,   60,   20
2015/01/04,   26,   40,   20
2015/01/05,   33,   40,   20
2015/01/06,   33,   60,   10
2015/01/07,   48,   70,   30
2015/01/08,   66,   90,   40
2015/01/09,   83,  100,   60
2015/01/10,   79,  120,   20
2015/01/11,   56,   70,   40
2015/01/12,   91,  100,   70
2015/01/13,   85,  110,   40
2015/01/14,   65,   90,   40
2015/01/15,   98,  140,   50
2015/01/16,   43,   70,   20
2015/01/17,   37,   60,   20
2015/01/18,   51,   70,   20
2015/01/19,   10,   20,    0
2015/01/20,   15,   30,    0
2015/01/21,   34,   50,   20
2015/01/22,   37,   50,   20
2015/01/23,   25,   50,   10
2015/01/24,   37,   60,   20
2015/01/25,   33,   40,   20
2015/01/26,   42,   50,   20
2015/01/27,   25,   40,   20
2015/01/28,   70,  120,   30
2015/01/29,   63,   80,   30
2015/01/30,   37,   50,   20
2015/01/31,   35,   50,   20
2015/02/01,   33,   60,   10
2015/02/02,   31,   40,   20
2015/02/03,   28,   50,   10
2015/02/04,   24,   40,   10
2015/02/05,   50,   80,   20
2015/02/06,   74,  100,   40
2015/02/07,   35,   50,   20
2015/02/08,   40,   70,   10
2015/02/09,   27,   40,   20
2015/02/10,   25,   40,   20
2015/02/11,   25,   40,   10
2015/02/12,   18,   30,    0
2015/02/13,   40,   60,   20
2015/02/14,   43,   60,   20
2015/02/15,   28,   60,   10
